asd info: Oct-17-2022 12:35:53: 	Server got : /!
{info: Oct-17-2022 12:37:13: 	Server got : /!}
{info: {Oct-17-2022 12:39:08}: 	Server Started in port : 3000!}
{info: Oct-17-2022 12:39:33: 	Server Started in port : 3000!}
{info: Oct-17-2022 12:50:53: 	hallo}
{info: Oct-17-2022 12:51:31: 	{m:"hallo"}}
{info: Oct-17-2022 13:02:57: 	Server Started in port : 3000!}
{info: Oct-17-2022 13:03:50: 	Server Started in port : 3000!}
{info: Oct-17-2022 13:03:52: 	Server got : /!}
{info: Oct-17-2022 13:03:52: 	Server got : /!}
{info: Oct-17-2022 13:04:54: 	Server Started in port : 3000!}
{info: Oct-17-2022 13:06:47: 	Server Started in port : 3000!}
{info: Oct-17-2022 13:06:50: 	Server got : /!}
{info: Oct-17-2022 13:06:50: 	Server got : /!}
{info: Oct-17-2022 13:07:55: 	Server Started in port : 3000!}
